Security,IVV US Equity,
Start Date,1999/12/31 0:00,
End Date,2026/5/15 0:00,
Period,D,
Currency,USD,
,,
Date,FUND_FLOW,PX_BID
2026/5/15,#N/A N/A,745.41
2026/5/14,225.4419,751.54
2026/5/13,1193.1965,745.74
2026/5/12,37.0691,741.64
2026/5/11,1113.8219,742.65
2026/5/8,74.1093,740.97
2026/5/7,293.9172,734.96
2026/5/6,626.9537,737.2
2026/5/5,-654.2888,727.02
2026/5/4,288.4452,721.4
2026/5/1,181.0032,723.96
2026/4/30,2346.1243,721.65
2026/4/29,321.5437,714.88
2026/4/28,-428.8957,714.95
2026/4/27,3124.7701,718.48
2026/4/24,-143.4901,717.27
2026/4/23,1850.5443,711.71
2026/4/22,107.2037,714.48
2026/4/21,70.7283,707.32
2026/4/20,-391.4906,711.96
2026/4/17,71.3478,713.29
2026/4/16,246.7458,704.75
2026/4/15,210.943,703.07
2026/4/14,976.5359,697.59
2026/4/13,1171.9546,689.2
2026/4/10,-204.7333,682.45
2026/4/9,-546.5234,682.95
2026/4/8,67.8923,678.97
2026/4/7,99.3468,662.22
2026/4/6,-562.5335,661.88
2026/4/2,-4051.8632,658.86
2026/4/1,98.7082,658.09
2026/3/31,-392.008,653.14
2026/3/30,730.0174,634.88
2026/3/27,-31.8654,636.95
2026/3/26,2398.0754,647.97
2026/3/25,12763.398,659.69
2026/3/24,5805.8435,656.13
2026/3/23,17877.9334,658.31
2026/3/20,1952.9818,651.42
2026/3/19,2875.2786,660.9
2026/3/18,9775.8109,662.74
2026/3/17,10145.8,671.92
2026/3/16,-2419.1639,671.91
2026/3/13,-24212.6936,665.21
2026/3/12,-8197.0978,668.98
2026/3/11,-2989.6657,679.37
2026/3/10,-10880.2581,680.07
2026/3/9,-1226.5142,681.32
2026/3/6,-641.9354,675.44
2026/3/5,-1232.4916,684.46
2026/3/4,-895.1561,688.22
2026/3/3,-3313.8739,683.33
2026/3/2,34.488,689.43
2026/2/27,0,689.33
2026/2/26,623.1334,692.41
2026/2/25,-208.8307,696.19
2026/2/24,0,690.43
2026/2/23,-650.9211,685.48
2026/2/20,-242.3231,692.45
2026/2/19,-1993.9199,687.6
2026/2/18,-758.3507,689.29
2026/2/17,377.0629,685.79
2026/2/13,-787.4902,684.65
2026/2/12,-1129.1496,684.28
2026/2/11,-729.9209,694.97
2026/2/10,-173.7946,695.15
2026/2/9,-627.6992,697.02
2026/2/6,-937.0669,693.72
2026/2/5,-612.6219,680.45
2026/2/4,585.7588,689.1
2026/2/3,242.423,692.52
2026/2/2,-69.8503,698.56
2026/1/30,-69.4727,695.01
2026/1/29,976.7542,697.06
2026/1/28,873.2205,698.55
2026/1/27,558.9023,698.64
2026/1/26,-626.2084,695.82
2026/1/23,-1973.1189,692.25
2026/1/22,-138.407,691.97
2026/1/21,-344.1239,688.34
2026/1/20,-1428.7391,680.62
2026/1/16,-34.733,694.65
2026/1/15,-4239.8504,695.24
2026/1/14,-2426.3819,693.51
2026/1/13,2334.7977,696.79
2026/1/12,-1990.1438,698.22
2026/1/9,10038.8032,697.08
2026/1/8,1246.7271,692.49
2026/1/7,277.0292,692.63
2026/1/6,-8339.5242,694.83
2026/1/5,-448.9095,690.77
2026/1/2,-2813.7034,686.17
2025/12/31,616.3335,684.87
2025/12/30,448.3943,689.94
2025/12/29,794.4049,690.83
2025/12/26,69.3187,693.27
2025/12/24,3952.0047,693.32
2025/12/23,-3179.0918,690.92
2025/12/22,-12830.7277,687.79
2025/12/19,11996.0946,683.54
2025/12/18,27610.1497,677.45
2025/12/17,23661.8155,672.23
2025/12/16,34820.0708,679.82
2025/12/15,-3078.4519,684.1
2025/12/12,-5035.3367,685.13
2025/12/11,-18937.7974,692.59
2025/12/10,-14441.477,690.91
2025/12/9,-3088.4674,686.46
2025/12/8,-3400.2648,687.05
2025/12/5,-11958.6994,689.05
2025/12/4,619.0439,687.82
2025/12/3,1374.0772,687.21
2025/12/2,-787.7213,684.87
2025/12/1,68.3277,683.68
2025/11/28,68.6851,686.77
2025/11/26,-307.4264,682.99
2025/11/25,474.9308,678.32
2025/11/24,1277.4443,672.06
2025/11/21,-397.2547,662.31
2025/11/20,1081.7448,655.7
2025/11/19,965.5192,665.9
2025/11/18,630.1971,663.39
2025/11/17,434.7447,668.94
2025/11/14,2092.3687,675.25
2025/11/13,1350.3101,675.39
2025/11/12,-240.2753,686.65
2025/11/11,171.5104,686.2
2025/11/10,958.4693,684.7
2025/11/7,1348.3082,674.24
2025/11/6,-673.2362,673.53
