Security,SPY US Equity,
Start Date,1999/12/31 0:00,
End Date,2026/5/15 0:00,
Period,D,
Currency,USD,
,,
Date,FUND_FLOW,PX_BID
2026/5/15,#N/A N/A,741.33
2026/5/14,2094.3261,748.09
2026/5/13,-3859.8699,742.27
2026/5/12,1992.4512,738.2
2026/5/11,2586.8053,739.21
2026/5/8,774.5235,737.52
2026/5/7,4132.2985,731.55
2026/5/6,440.4987,733.76
2026/5/5,2605.0326,723.71
2026/5/4,-3409.4431,718.06
2026/5/1,468.4303,720.64
2026/4/30,3197.5346,718.4
2026/4/29,-782.3678,711.59
2026/4/28,4375.8948,711.68
2026/4/27,1537.299,715.15
2026/4/24,-3820.6528,713.95
2026/4/23,-35.4235,708.4
2026/4/22,-2916.7489,711.21
2026/4/21,2956.9347,704.11
2026/4/20,1523.3342,708.69
2026/4/17,248.569,710.03
2026/4/16,2982.464,701.55
2026/4/15,1259.8681,699.84
2026/4/14,659.6222,694.39
2026/4/13,-1646.9779,686
2026/4/10,-373.6344,679.3
2026/4/9,136.0092,679.86
2026/4/8,7231.4457,675.86
2026/4/7,2175.7214,659.25
2026/4/6,3854.0116,658.88
2026/4/2,-1016.5763,655.89
2026/4/1,-720.5887,655.17
2026/3/31,-3056.8643,650.22
2026/3/30,1421.8588,632
2026/3/27,-2569.4673,634.07
2026/3/26,1613.0172,645.09
2026/3/25,-2823.5128,656.71
2026/3/24,-7477.6538,653.19
2026/3/23,15273.5692,655.36
2026/3/20,2397.8208,648.51
2026/3/19,65.9806,659.72
2026/3/18,-1124.6895,661.53
2026/3/17,-8350.0054,670.72
2026/3/16,-167.2489,668.94
2026/3/13,-4039.6523,662.29
2026/3/12,7494.5505,666.03
2026/3/11,3382.1619,676.33
2026/3/10,-4772.6804,677.05
2026/3/9,5291.1225,678.27
2026/3/6,-2388.1266,672.47
2026/3/5,-3067.4458,681.43
2026/3/4,-137.0989,685.13
2026/3/3,-1224.3971,680.27
2026/3/2,-4394.6674,686.35
2026/2/27,-5250.5025,686.25
2026/2/26,2929.3741,689.32
2026/2/25,-1247.3518,693.07
2026/2/24,-103.1057,687.36
2026/2/23,-102.3181,682.41
2026/2/20,-861.562,689.35
2026/2/19,-1985.0213,684.53
2026/2/18,-2161.946,686.21
2026/2/17,648.388,682.76
2026/2/13,-6067.3441,681.59
2026/2/12,6608.5255,681.24
2026/2/11,934.2848,691.9
2026/2/10,311.436,692.07
2026/2/9,-2326.0194,693.91
2026/2/6,-1278.4106,690.64
2026/2/5,372.722,677.43
2026/2/4,-3293.1302,686.06
2026/2/3,4275.2775,689.45
2026/2/2,-4520.0785,695.46
2026/1/30,2593.6523,691.86
2026/1/29,-1597.5421,693.96
2026/1/28,104.3212,695.42
2026/1/27,3581.963,695.53
2026/1/26,-865.8764,692.71
2026/1/23,137.851,689.18
2026/1/22,-1033.46,688.92
2026/1/21,-5378.8735,685.31
2026/1/20,-2811.0164,677.61
2026/1/16,-1071.9607,691.59
2026/1/15,-1349.3817,692.18
2026/1/14,2346.6635,690.43
2026/1/13,4822.4717,693.75
2026/1/12,-1355.6738,695.15
2026/1/9,-2741.5606,694
2026/1/8,2034.2598,689.45
2026/1/7,2034.1067,689.58
2026/1/6,-5189.285,691.8
2026/1/5,-3300.4637,687.73
2026/1/2,-1400.672,683.16
2025/12/31,-238.6343,681.84
2025/12/30,-1064.562,686.93
2025/12/29,5502.0852,687.83
2025/12/26,3554.28,690.24
2025/12/24,966.4216,690.28
2025/12/23,1789.0241,687.92
2025/12/22,-2191.8981,684.79
2025/12/19,5648.5444,680.59
2025/12/18,-3179.9277,676.47
2025/12/17,-503.4473,671.3
2025/12/16,-21425.6718,678.85
2025/12/15,408.4174,680.7
2025/12/12,4601.2633,681.72
2025/12/11,4650.4954,689.14
2025/12/10,-756.2833,687.45
2025/12/9,-3448.7035,683.05
2025/12/8,683.5047,683.63
2025/12/5,12687.8325,685.64
2025/12/4,4072.2254,684.4
2025/12/3,-1367.2526,683.81
2025/12/2,-817.8947,681.48
2025/12/1,3501.4535,680.27
2025/11/28,136.689,683.35
2025/11/26,645.8014,679.64
2025/11/25,-1991.63,675
2025/11/24,-4750.1613,668.8
2025/11/21,-230.5998,659.06
2025/11/20,2185.5834,652.51
2025/11/19,231.917,662.62
2025/11/18,528.1016,660.15
2025/11/17,4858.6423,665.67
2025/11/14,-5876.9298,671.95
2025/11/13,1914.7732,672.05
2025/11/12,-34.1565,683.3
2025/11/11,-682.6751,682.88
2025/11/10,-1669.0964,681.32
