Security,SPY US Equity,
Start Date,1999/12/31 0:00,
End Date,2026/5/15 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_BID
2026/5/15,#N/A N/A,741.13
2026/5/14,748.17,748.09
2026/5/13,742.31,742.27
2026/5/12,738.18,738.2
2026/5/11,739.3,739.21
2026/5/8,737.62,737.52
2026/5/7,731.58,731.55
2026/5/6,733.83,733.76
2026/5/5,723.77,723.71
2026/5/4,718.01,718.06
2026/5/1,720.65,720.64
2026/4/30,718.66,718.4
2026/4/29,711.58,711.59
2026/4/28,711.69,711.68
2026/4/27,715.17,715.15
2026/4/24,713.94,713.95
2026/4/23,708.45,708.4
2026/4/22,711.21,711.21
2026/4/21,704.08,704.11
2026/4/20,708.72,708.69
2026/4/17,710.14,710.03
2026/4/16,701.66,701.55
2026/4/15,699.94,699.84
2026/4/14,694.46,694.39
2026/4/13,686.1,686
2026/4/10,679.46,679.3
2026/4/9,679.91,679.86
2026/4/8,676.01,675.86
2026/4/7,659.22,659.25
2026/4/6,658.93,658.88
2026/4/2,655.83,655.89
2026/4/1,655.24,655.17
2026/3/31,650.34,650.22
2026/3/30,631.97,632
2026/3/27,634.09,634.07
2026/3/26,645.09,645.09
2026/3/25,656.82,656.71
2026/3/24,653.18,653.19
2026/3/23,655.38,655.36
2026/3/20,648.57,648.51
2026/3/19,659.8,659.72
2026/3/18,661.43,661.53
2026/3/17,670.79,670.72
2026/3/16,669.03,668.94
2026/3/13,662.29,662.29
2026/3/12,666.06,666.03
2026/3/11,676.33,676.33
2026/3/10,677.18,677.05
2026/3/9,678.27,678.27
2026/3/6,672.38,672.47
2026/3/5,681.31,681.43
2026/3/4,685.13,685.13
2026/3/3,680.33,680.27
2026/3/2,686.38,686.35
2026/2/27,685.99,686.25
2026/2/26,689.3,689.32
2026/2/25,693.15,693.07
2026/2/24,687.35,687.36
2026/2/23,682.39,682.41
2026/2/20,689.43,689.35
2026/2/19,684.48,684.53
2026/2/18,686.29,686.21
2026/2/17,682.85,682.76
2026/2/13,681.75,681.59
2026/2/12,681.27,681.24
2026/2/11,691.96,691.9
2026/2/10,692.12,692.07
2026/2/9,693.95,693.91
2026/2/6,690.62,690.64
2026/2/5,677.62,677.43
2026/2/4,686.19,686.06
2026/2/3,689.53,689.45
2026/2/2,695.41,695.46
2026/1/30,691.97,691.86
2026/1/29,694.04,693.96
2026/1/28,695.42,695.42
2026/1/27,695.49,695.53
2026/1/26,692.73,692.71
2026/1/23,689.23,689.18
2026/1/22,688.98,688.92
2026/1/21,685.4,685.31
2026/1/20,677.58,677.61
2026/1/16,691.66,691.59
2026/1/15,692.24,692.18
2026/1/14,690.36,690.43
2026/1/13,693.77,693.75
2026/1/12,695.16,695.15
2026/1/9,694.07,694
2026/1/8,689.51,689.45
2026/1/7,689.58,689.58
2026/1/6,691.81,691.8
2026/1/5,687.72,687.73
2026/1/2,683.17,683.16
2025/12/31,681.92,681.84
2025/12/30,687.01,686.93
2025/12/29,687.85,687.83
2025/12/26,690.31,690.24
2025/12/24,690.38,690.28
2025/12/23,687.96,687.92
2025/12/22,684.83,684.79
2025/12/19,680.59,680.59
2025/12/18,676.47,676.47
2025/12/17,671.4,671.3
2025/12/16,678.87,678.85
2025/12/15,680.73,680.7
2025/12/12,681.76,681.72
2025/12/11,689.17,689.14
2025/12/10,687.57,687.45
2025/12/9,683.04,683.05
2025/12/8,683.63,683.63
2025/12/5,685.69,685.64
2025/12/4,684.39,684.4
2025/12/3,683.89,683.81
2025/12/2,681.53,681.48
2025/12/1,680.27,680.27
2025/11/28,683.39,683.35
2025/11/26,679.68,679.64
2025/11/25,675.02,675
2025/11/24,668.73,668.8
2025/11/21,659.03,659.06
2025/11/20,652.53,652.51
2025/11/19,662.63,662.62
2025/11/18,660.08,660.15
2025/11/17,665.67,665.67
2025/11/14,671.93,671.95
2025/11/13,672.04,672.05
2025/11/12,683.38,683.3
2025/11/11,683,682.88
2025/11/10,681.44,681.32
2025/11/7,670.97,670.91
2025/11/6,670.31,670.24
2025/11/5,677.58,677.5
2025/11/4,675.24,675.34
2025/11/3,683.34,683.35
2025/10/31,682.06,681.96
2025/10/30,679.83,679.96
2025/10/29,687.39,687.29
2025/10/28,687.06,686.97
2025/10/27,685.24,685.17
2025/10/24,677.25,677.1
2025/10/23,671.76,671.6
2025/10/22,667.8,667.81
2025/10/21,671.29,671.25
2025/10/20,671.3,671.26
2025/10/17,664.39,664.31
2025/10/16,660.64,660.67
2025/10/15,665.17,665.08
