date,recession,inflation,unemployment
2021-05-02,2,11,91
2021-05-09,2,17,100
2021-05-16,1,12,89
2021-05-23,1,12,86
2021-05-30,1,10,82
2021-06-06,1,13,89
2021-06-13,1,12,77
2021-06-20,1,10,74
2021-06-27,1,8,78
2021-07-04,1,9,82
2021-07-11,1,11,75
2021-07-18,1,9,69
2021-07-25,1,9,69
2021-08-01,1,8,64
2021-08-08,1,9,69
2021-08-15,1,9,63
2021-08-22,1,9,65
2021-08-29,1,9,65
2021-09-05,1,9,63
2021-09-12,2,11,54
2021-09-19,2,10,43
2021-09-26,2,11,38
2021-10-03,2,11,34
2021-10-10,2,14,32
2021-10-17,2,15,28
2021-10-24,2,16,27
2021-10-31,2,13,28
2021-11-07,2,19,26
2021-11-14,2,17,26
2021-11-21,1,14,21
2021-11-28,2,15,27
2021-12-05,2,17,25
2021-12-12,1,21,25
2021-12-19,1,14,24
2021-12-26,1,13,26
2022-01-02,1,18,29
2022-01-09,2,21,29
2022-01-16,1,18,27
2022-01-23,2,20,30
2022-01-30,2,18,31
2022-02-06,2,22,27
2022-02-13,2,20,24
2022-02-20,2,18,24
2022-02-27,3,19,25
2022-03-06,4,24,24
2022-03-13,4,21,21
2022-03-20,3,21,21
2022-03-27,4,22,21
2022-04-03,6,20,21
2022-04-10,6,24,21
2022-04-17,5,21,21
2022-04-24,7,21,19
2022-05-01,7,23,19
2022-05-08,8,28,17
2022-05-15,10,23,17
2022-05-22,8,19,18
2022-05-29,6,19,16
2022-06-05,11,28,17
2022-06-12,23,30,17
2022-06-19,15,23,18
2022-06-26,9,22,17
2022-07-03,11,22,18
2022-07-10,9,29,20
2022-07-17,7,21,19
2022-07-24,22,21,18
2022-07-31,12,23,18
2022-08-07,7,34,17
2022-08-14,6,27,16
2022-08-21,6,21,17
2022-08-28,5,20,17
2022-09-04,5,20,15
2022-09-11,6,30,16
2022-09-18,8,24,17
2022-09-25,9,23,16
2022-10-02,8,23,17
2022-10-09,10,27,17
2022-10-16,10,24,17
2022-10-23,8,23,16
2022-10-30,8,23,18
2022-11-06,8,24,17
2022-11-13,9,23,19
2022-11-20,8,17,14
2022-11-27,6,19,18
2022-12-04,6,18,18
2022-12-11,6,20,18
2022-12-18,5,16,16
2022-12-25,4,13,18
2023-01-01,6,17,20
2023-01-08,5,21,21
2023-01-15,6,19,20
2023-01-22,6,18,21
2023-01-29,6,19,21
2023-02-05,5,19,20
2023-02-12,4,20,19
2023-02-19,4,18,18
2023-02-26,4,18,19
2023-03-05,5,18,19
2023-03-12,5,19,19
2023-03-19,5,18,18
2023-03-26,4,18,18
2023-04-02,4,15,17
2023-04-09,5,19,18
2023-04-16,5,17,18
2023-04-23,5,17,17
2023-04-30,5,17,18
2023-05-07,4,18,17
2023-05-14,4,15,17
2023-05-21,6,15,16
2023-05-28,4,14,18
2023-06-04,5,15,17
2023-06-11,5,16,17
2023-06-18,4,15,17
2023-06-25,3,15,17
2023-07-02,3,14,17
2023-07-09,3,18,18
2023-07-16,3,15,17
2023-07-23,3,14,17
2023-07-30,3,14,17
2023-08-06,3,15,17
2023-08-13,4,16,17
2023-08-20,3,13,16
2023-08-27,3,15,18
2023-09-03,3,15,16
2023-09-10,3,18,17
2023-09-17,3,17,17
2023-09-24,3,16,17
2023-10-01,3,15,17
2023-10-08,3,17,17
2023-10-15,3,17,16
2023-10-22,3,15,16
2023-10-29,3,15,16
2023-11-05,3,15,17
2023-11-12,3,17,17
2023-11-19,2,14,15
2023-11-26,3,16,19
2023-12-03,3,17,19
2023-12-10,3,18,19
2023-12-17,3,15,17
2023-12-24,2,11,16
2023-12-31,2,14,20
2024-01-07,2,17,21
2024-01-14,2,16,20
2024-01-21,3,17,21
2024-01-28,3,17,21
2024-02-04,3,17,20
2024-02-11,9,22,19
2024-02-18,5,19,19
2024-02-25,3,19,20
2024-03-03,3,17,20
2024-03-10,3,18,19
2024-03-17,3,17,19
2024-03-24,3,15,17
2024-03-31,2,16,18
2024-04-07,3,19,18
2024-04-14,3,17,18
2024-04-21,3,17,17
2024-04-28,3,17,18
2024-05-05,3,15,16
2024-05-12,2,18,16
2024-05-19,2,16,16
2024-05-26,2,16,15
2024-06-02,2,15,17
2024-06-09,2,16,16
2024-06-16,2,13,16
2024-06-23,2,14,16
2024-06-30,2,12,16
2024-07-07,2,15,19
2024-07-14,2,15,18
2024-07-21,2,14,18
2024-07-28,4,14,18
2024-08-04,11,13,17
2024-08-11,3,17,16
2024-08-18,3,14,16
2024-08-25,2,14,17
2024-09-01,3,14,18
2024-09-08,3,19,17
2024-09-15,3,16,17
2024-09-22,3,15,16
2024-09-29,2,14,17
2024-10-06,2,15,16
2024-10-13,2,15,16
2024-10-20,2,15,17
2024-10-27,2,15,17
2024-11-03,3,19,18
2024-11-10,3,17,17
2024-11-17,3,15,18
2024-11-24,2,15,14
2024-12-01,2,15,19
2024-12-08,2,16,18
2024-12-15,2,14,18
2024-12-22,2,11,15
2024-12-29,2,12,19
2025-01-05,2,15,21
2025-01-12,2,17,21
2025-01-19,2,16,20
2025-01-26,2,15,21
2025-02-02,3,16,20
2025-02-09,2,18,19
2025-02-16,3,16,20
2025-02-23,3,16,20
2025-03-02,5,15,19
2025-03-09,14,18,19
2025-03-16,5,15,18
2025-03-23,4,15,17
2025-03-30,12,18,20
2025-04-06,15,16,19
2025-04-13,5,14,18
2025-04-20,4,13,17
2025-04-27,6,15,18
2025-05-04,4,13,17
2025-05-11,3,15,17
2025-05-18,3,14,17
2025-05-25,3,13,16
2025-06-01,3,12,18
2025-06-08,3,14,17
2025-06-15,2,12,18
2025-06-22,2,13,18
2025-06-29,2,12,17
2025-07-06,2,12,18
2025-07-13,2,17,19
2025-07-20,3,16,19
2025-07-27,3,21,23
2025-08-03,4,27,25
2025-08-10,5,45,27
2025-08-17,4,36,25
2025-08-24,4,29,22
2025-08-31,5,32,27
2025-09-07,5,41,25
2025-09-14,4,37,24
2025-09-21,4,40,23
2025-09-28,5,38,26
2025-10-05,4,34,23
2025-10-12,4,36,23
2025-10-19,4,36,22
2025-10-26,4,31,21
